lh,rh,ls,rs,w,ll,rl
1739.2,220.9,2465.16,2090.0256,223,653.28,7407.84
2657.1,177.8,2500.44,2654.1528,242,579.36,7393.2
3080.9,151.3,2487.12,2470.6968,247,526.56,7412.64
3089.3,137.3,2494.2,2591.472,245,493.68,7333.92
3056.4,127.3,2456.04,2090.0256,228,467.28,7336.56
3057.6,122.1,2457.24,2083.9104,209,443.28,7416.96
3091.1,120.8,2498.04,2609.8176,204,423.36,7417.2
3091.2,117.8,2496.6,2609.8176,211,405.84,7386.24
3078.3,115.3,2482.2,2411.0736,220,404.16,7403.76
3086.8,119.2,2492.04,2530.32,216,435.36,7135.2
3063.1,145.5,2462.52,2166.4656,209,461.28,6717.6
3055.4,243.3,2456.4,2103.7848,228,501.84,6261.36
2509.2,422.5,2498.04,2589.9432,260,729.36,4941.84
1337.2,619.9,2501.28,2628.1632,294,2334.24,3764.4
537.4,1297.2,2489.88,2464.5816,308,5505.6,2979.36
264.6,2155,2500.44,2537.964,259,7348.8,2410.08
156.9,2757.1,2474.16,2158.8216,312,7344.96,2189.04
133.8,3034.2,2471.04,2155.764,341,7446.96,1872.72
142.9,3101.3,2522.16,2803.9752,312,7391.52,1618.32
139.2,3079.2,2494.32,2467.6392,306,7413.6,1409.28
125.1,3090,2505.48,2615.9328,311,7401.36,1193.52
112.6,3084.9,2499.6,2530.32,298,7327.2,1085.52
104.7,3053.9,2462.4,2053.3344,278,7347.84,1030.56
107.6,3062.4,2472.6,2181.7536,272,7422,924.96
106.1,3091.2,2509.68,2661.7968,267,7419.6,840
106.9,2928.2,2508.48,2635.8072,265,7373.04,806.4
147.1,1783,2492.76,2443.1784,270,5739.6,790.56
279.8,773.1,2492.28,2424.8328,262,3134.64,1028.16
535.5,397.5,2477.28,2236.7904,251,1578.72,1332.72
1079.5,248.5,2458.68,1999.8264,241,1219.44,3071.76
2465.4,194.3,2511.12,2678.6136,235,1055.52,6417.84
3070.3,168.3,2495.88,2478.3408,228,985.68,7286.88
3088.7,146.1,2500.56,2580.7704,261,825.84,7370.88
3074.2,133.3,2482.2,2359.0944,238,714.48,7309.92
3046.7,125.7,2453.52,1918.8,226,646.32,7357.44
3066.4,143.1,2477.16,2218.4448,217,582.48,7421.04
3092.8,197.1,2508.96,2618.9904,218,530.88,7214.16
3013.4,290.7,2413.92,1405.1232,206,548.4,7407.12
3092,357.4,2508,2611.3464,210,547.44,7183.92
