lh,rh,ls,rs,w,ll,rl
70.9,79.5,1625.16,1505.28,152,121.4,172
70,84.4,1839.96,1250.48,150,120,172.3333333
68.8,86.6,1729.68,1203.44,148,119.2,170.6666667
67.9,86.5,1974.84,593.88,144,117.8,174.6666667
69.9,88.4,2292.6,1746.36,146,122.4,174
70.1,93.3,2306.88,1765.96,143,121.2,172.3333333
64.5,90.9,2433.24,1311.24,144,119.8,171.6666667
64.8,86.2,2454.96,1230.88,141,119,169.6666667
63.2,84.7,2443.56,733.04,139,117.2,172.6666667
61.7,84.6,2503.8,1597.4,141,119,171.6666667
61.9,79.8,2493.24,619.36,144,118.2,170.6666667
59.9,77.7,2479.8,1699.32,148,117.6,170.3333333
58.1,75.9,2494.2,2085.44,153,117.6,168.6666667
57.3,73.5,2464.44,1352.4,157,117,168.6666667
58.1,73,2476.92,1928.64,159,116.6,171
58,72.9,2510.88,2471.56,158,117.4,171.3333333
57.7,73.4,2509.08,2426.48,159,117.2,170.6666667
56.8,72.8,2506.32,2359.84,161,116.8,169.6666667
55.5,70.9,2486.16,2050.16,160,116,168.3333333
54.5,68.6,2452.08,1532.72,159,115,169
54,67.6,2455.92,1603.28,163,115.4,171.3333333
55.2,68.1,2510.76,2475.48,163,117.4,172
55.5,68.1,2507.4,2428.44,160,117,171
56,67.5,2481.48,2009,156,115.8,170.3333333
56.9,66.9,2490.84,2156,155,115.8,168.6666667
55.9,66.7,2468.52,1789.48,153,115,167.6666667
54.2,67.2,2458.8,1626.8,154,114.4,170
53.6,68.5,2510.52,2393.16,156,115.8,169.6666667
52.4,68.2,2509.8,2416.68,154,115.6,169.3333333
51.7,67.9,2507.4,2275.56,152,115.6,167.6666667
50.2,66.6,2471.52,1617,148,114.4,167
49.4,66.9,2460.12,1479.8,146,113.8,168.6666667
49.3,67.1,2488.92,1956.08,146,115.2,169.3333333
49.2,67.1,2510.04,2181.48,144,115.8,168.6666667
49.3,66.5,2504.76,2212.84,144,115.4,167.6666667
49.7,65.5,2492.52,2026.64,144,114.8,167.3333333
50.2,65.9,2486.52,1877.68,143,114.6,166.3333333
56.3,65.5,2457.72,1499.4,140,114,167
57.4,65.7,2469.96,1895.32,143,114.8,165
58.6,63.7,2346.12,1078,148,113.2,167.3333333
59.5,64.5,2320.08,1903.16,153,114.8,167.6666667
60.4,65.7,1559.28,1883.56,153,114.6,168.6666667
61.5,65.6,1527.36,1954.12,153,115.4,169.6666667
58.5,65.2,1359.24,1466.08,150,115.2,177.3333333
58.8,66.5,1261.32,1930.6,149,117,177.3333333
57.1,65.8,1292.28,593.88,144,114.2,179
56.7,66.6,1467.72,813.4,143,114.6,184
57.2,68.8,1472.52,2040.36,145,118,181.6666667
57.2,67.3,1522.32,1601.32,142,118.2,180
56,66.3,1718.52,1197.56,140,118.8,179
54.5,67.3,1410.24,1158.36,139,119,180.6666667
54.9,69.6,1450.08,1897.28,141,121,180
54.5,72.5,1658.52,1942.36,141,120.4,179.3333333
58.8,71.9,1731.12,1746.36,140,119.4,177
57.6,73,1875.24,1248.52,139,118.2,176.3333333
63.2,72.3,1939.92,917.28,136,117,179.3333333
61.5,71.9,1905.48,1930.6,137,118.8,179.3333333
57.6,71,2254.08,1664.04,137,117.6,180.3333333
57.4,71.2,2351.52,1646.4,134,117.4,179.3333333
55,72.2,2342.28,1464.12,133,117.2,179.3333333
54.7,71.2,2436.72,836.92,135,118.4,181
52.8,69.8,2420.04,70,134,117.4,184.6666667
51.9,72.1,2501.4,1332.8,135,120.4,184.3333333
52.8,70.1,2504.88,2122.68,137,122.2,182.6666667
51.6,68.3,2503.92,2177.56,140,122,181.3333333
51.2,67.9,2497.56,1750.28,141,121,179.3333333
51.7,66.8,2472.12,1436.68,144,119.2,177.3333333
53.1,65.1,2445.36,1342.6,144,117.4,180
54.1,65.8,2507.88,2336.32,150,118.8,175
51.7,63.7,2413.44,860.44,147,115.4,178
52.6,64.6,2488.68,2071.72,154,118,178.6666667
52.7,64.6,2501.64,2348.08,154,118.6,177.3333333
52.3,64.1,2477.64,1961.96,153,117.4,176.3333333
52.6,63.6,2466.12,1764,153,116.6,176.3333333
52.7,63.8,2463.48,1744.4,152,116,178
57.9,65.7,2509.56,2481.36,152,116.8,174.6666667
57.6,65,2447.04,1468.04,147,114.2,178.6666667
56.2,65,2498.28,2279.48,152,115.6,178.3333333
54,64.8,2471.28,1846.32,150,114.2,178
53,64.7,2468.04,1805.16,148,113.6,175.6666667
51.8,64.3,2442.72,1340.64,147,112.4,178.3333333
52.3,65.4,2510.64,2410.8,149,116.6,178.6666667
51.5,64.7,2492.4,1891.4,146,119.6,179.3333333
50.8,63.8,2477.28,1946.28,144,120.4,179.3333333
49.8,63.6,2469.48,1660.12,142,122.6,180
49.4,63.3,2453.16,1383.76,141,121.2,182.6666667
50.2,64.2,2508.96,2205,140,121.8,181.6666667
50,63.5,2504.64,2146.2,137,121.2,181.3333333
49.9,63.5,2502.72,2134.44,141,122,179
49.9,62.7,2466.24,1568,139,122.6,177.3333333
50.7,62.2,2368.92,1334.76,136,122,177.3333333
52,62.8,2189.64,1552.32,136,121.4,175
53.7,62,1774.44,678.16,136,118.6,179
56.3,65.6,1320.84,2010.96,142,120.6,176
57.8,68.5,1168.44,1254.4,144,118.4,177.3333333
61.6,72.3,1327.44,1756.16,150,119.6,176
61.4,73.2,1172.16,1422.96,151,119.2,175.6666667
59.3,71.6,1233,1470,149,118.4,177.3333333
60.3,75,1074.48,2016.84,153,119.6,176.3333333
65,74,1125,1922.76,148,118.8,175.6666667
68.1,74,1100.64,2001.16,143,118,174.6666667
68.8,72.9,1258.92,1689.52,141,117.2,174.3333333
