lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
173.6,206.2,2463.72,2377.1176,112,158.64,162,106.598,268.18,271.289,409.66,489.106,256.524,386.039,456.621,553.886,556.743,765.729,977.675,553.808,759.847,962.943
182.6,204,2462.88,2373.2956,112,160.32,163.68,106.58,268.276,271.416,418.45,527.214,256.57,391.948,483.127,556.754,556.807,765.735,977.686,553.865,759.857,959.997
193.3,207.5,2505.84,2643.8932,114,160.32,163.68,106.591,268.248,271.398,427.286,539.138,253.683,403.718,503.735,556.839,559.719,765.679,977.606,556.76,762.673,965.859
197.9,216.6,2505,2641.6,112,160.56,163.44,106.579,268.307,271.41,424.33,547.986,256.616,406.637,518.555,556.816,559.708,765.675,977.659,556.75,762.757,962.951
196.9,231.4,2503.2,2630.134,112,160.08,162.24,106.563,268.337,274.214,433.076,556.752,256.616,409.494,530.173,559.766,562.667,765.723,977.582,559.686,762.686,959.967
189.4,258.4,2486.04,2520.8248,110,160.8,162.48,106.554,268.324,274.196,433.241,565.557,259.465,409.617,533.275,562.631,562.677,765.715,977.696,559.691,759.881,957.072
182.9,293.5,2485.56,2515.474,108,159.84,162.24,106.585,268.352,274.208,439.024,571.496,259.535,412.637,547.838,568.547,571.43,765.793,977.763,565.616,762.773,960.045
240.4,372.4,2465.52,2311.3792,108,162,165.12,106.533,268.342,274.185,436.086,574.3,259.538,412.488,547.965,562.702,565.607,765.803,977.701,559.761,762.762,959.994
338.3,514.9,2502.12,2392.4056,112,162.24,164.64,106.532,268.366,274.254,436.144,574.517,262.387,415.474,550.944,568.534,568.561,765.813,977.699,565.623,762.84,960.03
486.6,633.8,2504.4,2295.3268,112,162.24,163.92,106.51,268.301,271.409,436.074,577.299,259.511,412.639,553.739,562.634,562.658,765.702,977.715,559.731,762.839,960.06
670.7,744.3,2501.88,2409.9868,110,160.8,161.76,106.535,268.247,271.328,433.066,577.275,259.461,415.556,553.829,559.701,559.749,765.791,977.683,556.81,762.782,960.022
1021.1,904.6,2460.84,1988.8024,108,162.24,162.48,106.537,268.28,271.346,433.113,574.522,262.398,421.34,553.846,559.715,559.762,765.704,977.693,556.805,762.715,960.034
1575.3,1309,2470.08,2382.4684,112,161.28,161.28,106.535,268.279,271.363,433.245,577.265,259.496,415.518,553.843,559.74,562.627,765.722,977.725,559.697,762.784,962.941
1999,1661.2,2453.76,2161.5568,112,162.72,162.72,106.54,268.245,271.338,433.217,577.257,256.622,412.608,553.822,562.654,562.674,765.749,977.7,562.637,762.822,962.955
2614.3,2039.7,2491.8,2377.1176,118,162,162,106.583,268.275,271.407,433.24,574.541,256.579,415.548,553.799,565.586,565.634,765.803,977.722,562.691,762.833,962.902
3068.2,2388.4,2477.04,1947.5248,116,162,162,106.603,268.281,271.403,433.16,574.423,256.622,415.493,553.756,562.627,562.693,765.786,977.779,559.713,762.829,962.949
3067.7,2724.7,2482.68,2072.8864,112,161.04,160.8,106.618,268.263,271.407,433.172,574.477,256.583,412.648,553.74,559.74,562.649,765.762,977.762,559.695,762.832,962.961
3064.4,2918,2465.28,1805.3464,112,160.8,160.32,106.617,268.262,271.386,433.14,574.5,256.599,412.575,550.93,559.695,559.763,765.682,977.616,556.79,762.775,960.052
3059.7,3032.6,2456.64,1622.6548,112,160.32,159.84,106.611,268.264,274.167,433.182,574.366,256.568,412.533,550.88,559.694,559.729,765.727,977.706,556.793,762.813,962.912
3016,3060.3,2450.04,1371.1672,110,157.92,157.44,106.616,268.249,271.4,436.212,568.567,256.515,409.556,547.889,556.825,559.73,765.753,977.661,556.77,765.66,965.857
